datetime, ticker, price, signal, pnl
2023-01-27-15:20, TOST, 22.86, 1, -0.05
2023-01-27-15:25, TOST, 22.905, 1, -0.09
2023-01-27-15:30, TOST, 23.0, 1, 0.03
2023-01-27-15:35, TOST, 23.03, -1, -0.1
2023-01-27-15:40, TOST, 22.93, -1, -0.07
2023-01-27-15:45, TOST, 22.855, -1, -0.05
2023-01-27-15:50, TOST, 22.81, -1, -0.02
2023-01-27-15:55, TOST, 22.79, -1, -0.02
2023-01-27-16:00, TOST, 22.77, -1, -0.22
2023-01-27-16:05, TOST, 22.55, -1, 0.0
2023-01-27-16:10, TOST, 22.55, 1, -0.45
2023-01-27-16:20, TOST, 23.0, 1, 0.05
2023-01-27-18:30, TOST, 22.95, 1, -0.43
2023-01-30-07:05, TOST, 22.52, -1, -0.12
2023-01-30-07:35, TOST, 22.4, -1, -0.05
2023-01-30-09:25, TOST, 22.35, -1, -0.1
2023-01-30-09:30, TOST, 22.25, -1, -0.14
2023-01-30-09:35, TOST, 22.11, -1, 0.1
2023-01-30-09:40, TOST, 22.01, 1, -0.29
2023-01-30-09:45, TOST, 22.3, 1, 0.12
2023-01-30-09:50, TOST, 22.419, -1, -0.15
2023-01-30-09:55, TOST, 22.27, -1, -0.06
2023-01-30-10:00, TOST, 22.21, -1, -0.02
2023-01-30-10:05, TOST, 22.19, -1, 0.01
2023-01-30-10:10, TOST, 22.2, -1, -0.02
2023-01-30-10:15, TOST, 22.1769, -1, -0.09
2023-01-30-10:20, TOST, 22.09, -1, 0.03
2023-01-30-10:25, TOST, 22.12, -1, 0.03
2023-01-30-10:30, TOST, 22.15, -1, -0.02
2023-01-30-10:35, TOST, 22.13, -1, -0.07
2023-01-30-10:40, TOST, 22.06, -1, -0.05
2023-01-30-10:45, TOST, 22.01, -1, 0.14
2023-01-30-10:50, TOST, 22.15, -1, 0.1
2023-01-30-10:55, MSFT, 242.5301, 1, -0.46
2023-01-30-10:55, TOST, 22.05, 1, -0.16
2023-01-30-11:00, MSFT, 242.992, 1, 0.08
2023-01-30-11:00, TOST, 22.21, 1, 0.02
2023-01-30-11:05, MSFT, 242.915, 1, -0.21
2023-01-30-11:05, TOST, 22.19, 1, -0.06
2023-01-30-11:10, MSFT, 243.12, 1, -0.22
2023-01-30-11:10, TOST, 22.25, 1, -0.03
2023-01-30-11:15, MSFT, 243.34, 1, -0.38
2023-01-30-11:15, TOST, 22.28, 1, -0.11
2023-01-30-11:20, MSFT, 243.72, 1, 0.03
2023-01-30-11:20, TOST, 22.39, 1, 0.07
2023-01-30-11:25, MSFT, 243.69, 1, -0.11
2023-01-30-11:25, TOST, 22.325, 1, -0.04
2023-01-30-11:30, MSFT, 243.8, 1, 0.09
2023-01-30-11:30, TOST, 22.36, 1, -0.03
2023-01-30-11:35, MSFT, 243.715, 1, 0.31
2023-01-30-11:35, TOST, 22.39, 1, -0.04
2023-01-30-11:40, MSFT, 243.4, 1, -0.24
2023-01-30-11:40, TOST, 22.425, 1, 0.02
2023-01-30-11:45, AAPL, 143.8617, 1, 0.07
2023-01-30-11:45, MSFT, 243.64, 1, 0.43
2023-01-30-11:45, TOST, 22.41, 1, 0.05
2023-01-30-11:50, AAPL, 143.795, 1, 0.1
2023-01-30-11:50, MSFT, 243.21, 1, 0.2
2023-01-30-11:50, TOST, 22.355, 1, 0.0
2023-01-30-11:55, AAPL, 143.69, 1, -0.5
2023-01-30-11:55, MSFT, 243.01, 1, -0.66
2023-01-30-11:55, TOST, 22.35, 1, -0.05
2023-01-30-12:00, AAPL, 144.1882, 1, 0.09
2023-01-30-12:00, MSFT, 243.67, 1, 0.0
2023-01-30-12:00, TOST, 22.4, 1, 0.05
2023-01-30-12:05, AAPL, 144.1021, 1, 0.11
2023-01-30-12:05, MSFT, 243.67, 1, -0.09
2023-01-30-12:05, TOST, 22.3527, 1, 0.02
2023-01-30-12:10, AAPL, 143.99, 1, 0.03
2023-01-30-12:10, MSFT, 243.76, 1, -0.3
2023-01-30-12:10, TOST, 22.33, 1, 0.0
2023-01-30-12:15, AAPL, 143.96, 1, 0.25
2023-01-30-12:15, MSFT, 244.0624, 1, 0.42
2023-01-30-12:15, TOST, 22.33, 1, -0.02
2023-01-30-12:20, AAPL, 143.705, 1, -0.08
2023-01-30-12:20, MSFT, 243.6432, 1, 0.16
2023-01-30-12:20, TOST, 22.345, 1, -0.06
2023-01-30-12:25, AAPL, 143.79, 1, 0.11
2023-01-30-12:25, MSFT, 243.48, 1, -0.2
2023-01-30-12:25, TOST, 22.405, 1, -0.06
2023-01-30-12:30, AAPL, 143.675, 1, 0.09
2023-01-30-12:30, MSFT, 243.68, 1, 0.35
2023-01-30-12:30, TOST, 22.47, 1, 0.01
2023-01-30-12:35, AAPL, 143.585, 1, -0.11
2023-01-30-12:35, MSFT, 243.33, 1, 0.14
2023-01-30-12:35, TOST, 22.46, 1, 0.04
2023-01-30-12:40, AAPL, 143.695, 1, 0.07
2023-01-30-12:40, MSFT, 243.19, 1, 0.06
2023-01-30-12:40, TOST, 22.425, 1, 0.09
2023-01-30-12:45, AAPL, 143.62, 1, 0.23
2023-01-30-12:45, MSFT, 243.13, 1, 0.25
2023-01-30-12:45, TOST, 22.335, 1, 0.02
2023-01-30-12:50, AAPL, 143.3882, 1, 0.05
2023-01-30-12:50, MSFT, 242.88, 1, -0.16
2023-01-30-12:50, TOST, 22.315, 1, -0.04
2023-01-30-12:55, AAPL, 143.34, 1, -0.07
2023-01-30-12:55, MSFT, 243.045, 1, 0.1
2023-01-30-12:55, TOST, 22.35, 1, 0.04
2023-01-30-13:00, AAPL, 143.415, 1, -0.1
2023-01-30-13:00, MSFT, 242.94, 1, -0.22
2023-01-30-13:00, TOST, 22.3111, 1, 0.02
2023-01-30-13:05, AAPL, 143.5188, 1, -0.01
2023-01-30-13:05, MSFT, 243.16, 1, -0.04
2023-01-30-13:05, TOST, 22.295, 1, -0.0
2023-01-30-13:10, AAPL, 143.5299, 1, 0.03
2023-01-30-13:10, MSFT, 243.2, 1, 0.02
2023-01-30-13:10, TOST, 22.3, 1, 0.05
2023-01-30-13:15, AAPL, 143.495, 1, -0.2
2023-01-30-13:15, MSFT, 243.18, 1, -0.16
2023-01-30-13:15, TOST, 22.25, 1, -0.18
2023-01-30-13:20, AAPL, 143.7, 1, 0.06
2023-01-30-13:20, MSFT, 243.345, 1, -0.16
2023-01-30-13:20, TOST, 22.43, 1, -0.01
2023-01-30-13:25, AAPL, 143.637, 1, 0.14
2023-01-30-13:25, MSFT, 243.5, 1, -0.23
2023-01-30-13:25, TOST, 22.44, 1, 0.01
2023-01-30-13:30, AAPL, 143.4978, 1, 0.19
2023-01-30-13:30, MSFT, 243.272, -1, -0.33
2023-01-30-13:30, TOST, 22.43, 1, 0.16
2023-01-30-13:35, AAPL, 143.31, 1, 0.03
2023-01-30-13:35, MSFT, 242.94, -1, 0.07
2023-01-30-13:35, TOST, 22.275, 1, 0.01
2023-01-30-13:40, AAPL, 143.275, 1, 0.11
2023-01-30-13:40, MSFT, 243.01, -1, -0.19
2023-01-30-13:40, TOST, 22.26, 1, 0.01
2023-01-30-13:45, AAPL, 143.17, 1, -0.12
2023-01-30-13:45, MSFT, 242.82, -1, -0.02
2023-01-30-13:45, TOST, 22.255, 1, 0.07
2023-01-30-13:50, AAPL, 143.295, 1, 0.06
2023-01-30-13:50, MSFT, 242.798, -1, -0.17
2023-01-30-13:50, TOST, 22.1801, 1, -0.04
2023-01-30-13:55, AAPL, 143.23, 1, -0.15
2023-01-30-13:55, MSFT, 242.63, -1, 0.26
2023-01-30-13:55, TOST, 22.225, 1, -0.04
2023-01-30-14:00, AAPL, 143.375, 1, -0.1
2023-01-30-14:00, MSFT, 242.8945, -1, 0.14
2023-01-30-14:00, TOST, 22.27, 1, -0.02
2023-01-30-14:05, AAPL, 143.48, 1, 0.15
2023-01-30-14:05, MSFT, 243.03, -1, -0.07
2023-01-30-14:05, TOST, 22.29, 1, 0.01
2023-01-30-14:10, AAPL, 143.3345, 1, -0.05
